employee_id,birth_date,gender,marital_status,education_level,university,specialization,languages,address,emergency_contact,emergency_phone,base_salary,bonus_rate,vacation_days,sick_days,probation_end,last_review_date,next_review_date
1,1993-12-18,Ч,Розлучений/а,Магістр,Львівська політехніка,Дипломат,"['Польська', 'Англійська']","набережна Вернидуба, буд. 889, Тараща, 20348",Аніта Рябченко,+380 11 361-77-89,50204.95,0.13,18,3,2021-08-31,2021-08-11,2025-03-19 01:32:44.038701
2,1986-01-10,Ж,Розлучений/а,Бакалавр,Національний авіаційний університет,Дантист,['Польська'],"провулок 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 7 кв. 0, Вознесенськ, 80079",Софія Ісаєнко,+380 40 440-18-41,31603.24,0.07,18,7,2021-01-25,2020-11-30,2025-02-16 01:32:44.038701
3,2001-08-18,Ч,Одружений/а,Середня,Вінницький національний технічний університет,,"['Англійська', 'Польська', 'Німецька']","площа Князя Володимира Великого , буд. 821, Багачеве, 08794",Віолетта Шморгун,139-21-30,20136.44,0.15,21,8,2024-12-23,2024-10-24,2025-04-30 01:32:44.038701
4,1997-10-15,Ч,Розлучений/а,PhD,Національний університет «Києво-Могилянська академія»,Правник,['Німецька'],"парк Компасний, буд. 41 кв. 248, Чернігів, 68442",Іваненко Владислав Орхипович,248 85 84,22870.0,0.18,21,6,2023-03-27,2024-02-17,2025-03-28 01:32:44.038701
5,2002-07-08,Ж,Одружений/а,Магістр,Херсонський державний університет,Складальник,"['Польська', 'Англійська', 'Українська']","площа Тінистий, буд. 8, Іршава, 34669",Галина Якимчук,+380 03 019-13-77,55076.15,0.16,18,1,2020-08-23,2020-10-09,2025-02-22 01:32:44.038701
6,1969-12-17,Ж,Розлучений/а,Бакалавр,Національний авіаційний університет,Детектив,['Англійська'],"сквер Станційна 3-тя, буд. 79, Маріуполь, 87561",Аніта Затовканюк,+380 24 136-31-84,29696.49,0.1,21,3,2024-05-23,2024-05-25,2025-02-25 01:32:44.038701
7,1999-02-07,Ч,Одружений/а,PhD,Херсонський державний університет,Футболіст,"['Українська', 'Німецька']","набережна Хвойний, буд. 43, Белз, 15769",Степан Симоненко,446-42-74,25213.9,0.2,22,5,2022-08-11,2024-06-08,2025-04-29 01:32:44.038701
8,1968-06-07,Ч,Неодружений/а,Магістр,Івано-Франківський національний технічний університет нафти і газу,Прокурор,"['Англійська', 'Польська', 'Німецька']","вулиця Супутників, буд. 2 кв. 0, Пологи, 47703",Семен Дрозденко,124 31 33,79666.8,0.06,22,6,2022-02-17,2022-10-30,2025-05-31 01:32:44.038701
9,1999-11-30,Ч,Одружений/а,PhD,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,М'ясник,"['Українська', 'Польська', 'Англійська']","парк Водопровідна, буд. 03, Вовчанськ, 35824",пан Алевтин Бебешко,+380 (29) 692-70-01,20006.87,0.11,20,6,2025-02-22,2024-12-17,2025-05-23 01:32:44.038701
10,2003-04-11,Ж,Неодружений/а,Бакалавр,Львівська політехніка,,['Польська'],"узвіз Злакова, буд. 260 кв. 772, Скалат, 54273",Христина Назаренко,574 72 48,69072.23,0.16,24,8,2023-11-04,2024-06-29,2025-06-05 01:32:44.038701
11,1977-08-20,Ч,Розлучений/а,Бакалавр,Донецький національний університет імені Василя Стуса,,['Українська'],"площа Нерубайська, буд. 704, Горішні Плавні, 58838",Аарон Євтушок,+380 18 600 98 47,60095.12,0.09,24,10,2022-01-17,2023-05-09,2025-03-20 01:32:44.038701
12,1993-07-11,Ч,Одружений/а,Середня,Харківський національний технічний університет сільського господарства імені Петра Василенка,,"['Українська', 'Англійська', 'Німецька']","сквер Новиков міст, буд. 89 кв. 137, Селидове, 36232",Сергій Яремків,+380 (56) 217-68-10,24817.26,0.1,24,9,2020-04-07,2023-12-21,2025-02-16 01:32:44.038701
