application_id,vacancy_id,candidate_name,email,phone,current_position,current_company,current_salary,expected_salary,experience_years,education_level,application_date,status,interview_date,feedback,source
1,77,пані Володимира Орлик,orysia67@example.org,+380 32 694 37 46,Пілот,Бебешко LLC,10537.67,15178.43,4,Бакалавр,2024-06-16,Розглядається,,,Інше
2,34,Атаманюк Роксолана Устимівна,liubovtkachenko@example.net,+380 12 113 23 82,Візажист,"Кармалюк, Єрченко and Наливайко",10958.0,13951.6,10,PhD,2023-11-11,Прийнято,2023-11-20,"Шкіра палата холодно безпорадний. Свіжий художній при безпорадний.
Мета підлога темніти страта. Ягода жорстокий заплакати. Серйозний ягода степ синок пісня.",Сайт компанії
3,100,Тригуб Аарон Леонідович,petroiakymchuk@example.com,852-72-29,Музикант,"Адаменко, Ґереґа and Шморгун",43359.2,61976.88,8,Магістр,2024-11-11,Відхилено,2024-11-15,Дрімати функція страта. При наполегливо сміятися приходити прошепотіти.,Інше
4,64,Маруся Сімашкевич,qkhomenko@example.com,089 312-61-81,Фольклорист,"Хмара, Цимбалюк and Артимишина",22453.28,29142.33,11,Магістр,2024-10-30,Прийнято,2024-11-07,"Дружно тисяча спасти раніше дальній.
Актриса командувач палата приятель. Прем'Єра кора простір дихання розгубитися щось. Призначити гіркий новий голубчик.",LinkedIn
5,72,Ігнат Ящук,anastasiia17@example.com,095 504-87-48,Провізор,Лагода Group,38966.91,50073.27,5,Магістр,2023-11-08,Розглядається,,,LinkedIn
6,22,Станіслав Ніколюк,havrylyshynvira@example.org,828-64-47,Хімік,"Червоненко, Ґалаґан and Верес",31677.72,45049.38,15,Середня,2024-07-13,Відхилено,2024-07-21,"Здригатися багряний натиснути голубчик щось зрозумілий. Художній прошепотіти уточнити синок так важкий.
Падати поставити лягати можливо сонце інший місце. Прелесть крутий низький рот.",Сайт компанії
7,85,Марія Дробаха,azar95@example.org,+380 97 200-74-84,Адвокат,Ванченко LLC,10644.07,12730.0,4,Бакалавр,2024-06-11,Пропозиція,2024-06-21,Вчений вивчити запустити зрозумілий вивести наштовхнутися дрімати. Набір лівий похмуро виражений функція падаль. Кпсс досліджено здригнутися нині.,Work.ua
8,58,Зубко Руслан Арсенович,virahohol@example.com,336 79 27,Музичний редактор,Баранник-Матяш,29354.17,42854.04,0,Магістр,2024-05-03,Нова,,,Інше
9,89,Орися Рубець,veniiamynartym@example.org,+380 55 199 58 65,Журналіст,Дараган-Ісаєнко,45459.41,64540.73,11,Середня,2024-08-21,Співбесіда,2024-09-02,,Рекомендація
10,19,Христина Скопенко,veniiamyn55@example.com,+380 45 364-66-20,Водій,"Лупій, Величко and Мазур",30140.08,44724.61,0,Середня,2023-08-24,Співбесіда,2023-09-04,,Рекомендація
11,77,пан Федір Микитюк,bohdanna42@example.org,+380 50 697 48 18,Фармацевт,"Баштан, Чаленко and Вдовенко",24853.0,28070.0,6,PhD,2024-06-11,Розглядається,,,Рекомендація
12,54,Петро Ільченко,iarema10@example.com,014 891 37 12,Продюсер,Приходько-Жаліло,31349.3,39239.16,14,Бакалавр,2024-01-11,Нова,,,Інше
13,70,пані Ярина Гайденко,taras19@example.org,+380 27 718-62-39,Фрілансер,"Мазепа, Оліфіренко and Гавриленко",16391.98,19938.08,13,Бакалавр,2024-06-11,Розглядається,,,Work.ua
14,19,Мілена Оліфіренко,kolisnychenkosvitlana@example.com,+380 47 559 60 06,Локсмайстер,"Засуха, Романенко and Шило",49100.83,58854.99,11,Магістр,2023-08-14,Відхилено,2023-08-28,"Висіти коробка спалити червʼяк. Червонй видимо уточнити каюта.
Актриса сміття вибирати видимо кишеня виблискувати дівка. Мить й відповідність заклик художній видимо.",Work.ua
15,87,Олег Бандура,iarema26@example.com,012 852 06 91,Науковець,Салій-Годунок,29565.69,39934.97,4,Магістр,2024-08-30,Співбесіда,2024-09-10,,Рекомендація
16,52,Світлана Височан,gfilipenko@example.net,619-01-88,Зоолог,Байрак-Ярема,30137.57,35206.88,8,Бакалавр,2024-09-08,Нова,,,LinkedIn
17,19,Дарина Байда,adam29@example.net,+380 13 623-29-11,Бібліограф,Чайка-Товстуха,27200.65,32566.6,11,Магістр,2023-07-25,Нова,,,LinkedIn
18,29,Зінчук Еріка Охрімівна,iustynahaidamaka@example.org,+380 58 728-59-86,Водій,"Гупало, Овчаренко and Артимишин",14358.31,16831.63,1,Бакалавр,2023-10-01,Пропозиція,2023-10-08,Що-Небудь спорт князь скинути увійти насолода зупинити. Розгубитися угодний призначити здригнутися. Бригада спорт важкий супроводжуватися ковзати звільнення.,Інше
19,62,Пріска Фесенко,darynashablii@example.org,+380 72 130 04 94,М'ясник,"Базилевич, Голик and Опанасенко",22293.88,27987.51,2,Бакалавр,2024-08-24,Відхилено,2024-08-31,"Видимо результат скинути який співрозмовник поріг. Мета жорстокий самостійно діловий взагалі. Редактор рот банк порода.
Заклад актриса шкіра квапливий падати. Танцювати пірʼя шолом порада.",Work.ua
20,2,Орина Їжак,anita92@example.com,888-27-74,Електротехнік,"Оробець, Чумак and Шведченко",22625.54,26872.35,6,Середня,2024-09-11,Нова,,,Рекомендація
21,8,Веніямин Швачко,zlatoslava59@example.org,076 508 26 11,Редактор,Гавриленко Inc,33066.17,43981.43,6,PhD,2024-05-21,Нова,,,Сайт компанії
22,76,Ващенко-Захарченко Марина Богодарівна,kyrylenkoruslan@example.net,+380 09 661-28-66,Штукатур,"Сірченко, Гаврилець and Гупало",38246.49,52352.99,15,Магістр,2024-05-14,Нова,,,Рекомендація
23,7,Емілія Чміль,liudmyla57@example.org,796-28-70,Економіст,Михайлюк-Забара,45816.72,64333.75,3,Магістр,2024-10-26,Прийнято,2024-11-02,Занадто ручка голубчик безпорадний перебивати. Адже черговий купа-невеличка степ заспівати дорогий. Кишеня пані природний метелик правління робочий знаходити.,LinkedIn
24,33,Галина Овсієнко,obezditko@example.com,187 38 51,Реставратор,"Кириленко, Захарченко and Прокопович",43450.96,49880.08,11,Середня,2024-02-11,Співбесіда,2024-02-15,,Інше
25,89,Лаба Марʼяна Аврелійовна,kolesnychenkomarta@example.org,+380 73 540 57 95,Краєзнавець,"Дубина, Юрчук and Титаренко",38765.78,57177.83,3,Середня,2024-02-07,Прийнято,2024-02-20,"Картинка досліджено груди соціалістичний. Суглоб спосіб яскраво сміятися помовчати залучати.
Міф місце падати. Сміятися космос палиця тьмяний.",Work.ua
26,2,Дейнеко Микита Соломонович,adamchupryna@example.org,098 242 85 87,Стиліст,Артим-Гузь,14847.19,19611.49,12,Бакалавр,2024-09-15,Співбесіда,2024-09-29,,Рекомендація
27,84,Лілія Ковалюк,iakovenkoheorhii@example.com,+380 52 762-59-67,Провізор,Конопля-Артим,35754.79,40349.79,8,Бакалавр,2024-02-05,Відхилено,2024-02-10,Керівник ламати аж деякий збільшуватися. Комунізм сумний висловлюватися виднітися. Прошепотіти будівництво палата.,Сайт компанії
28,8,Вʼячеслав Кабалюк,kostiantyn15@example.com,615 01 80,Швачка,"Скопенко, Ребрик and Цушко",30169.07,35794.87,3,PhD,2024-11-15,Відхилено,2024-11-23,Прелесть важкий аж. Головний фахівець повністю знаходити перетнути благати. Надати плавно збільшуватися оборот кільце.,Рекомендація
29,20,Богданна Ващенко-Захарченко,feofan03@example.com,004 864-54-18,Психолог,"Єременко, Сірко and Кириленко",10705.85,14457.68,7,Бакалавр,2024-03-09,Відхилено,2024-03-20,"Кордон спорт місце відповідність оборот. Більше число уточнити редактор теорія редактор.
Ґаздиня суглоб плід рота заява. Основа призначити незвичайний.",LinkedIn
30,26,Михайло Жаліло,mykolaiorlyk@example.com,+380 96 153-04-03,Клоун,"Зінчук, Павличенко and Власенко",12074.3,13929.6,13,Магістр,2024-11-14,Пропозиція,2024-11-26,"Похорон нині білизна вперед керівник заборонити бігати здригнутися. Коричневий отже фахівець гараж купа космос.
Досліджено терапія шкіра виражений чоловічок витримати. Паща ніч каюта провінція.",Інше
31,72,пан Валентин Бабійчук,khrystynaiurchyshyn@example.org,+380 (73) 367-01-18,Візажист,"Тесленко, Кащенко and Баклан",11811.7,17293.02,2,PhD,2024-02-06,Пропозиція,2024-02-16,Аналіз купа-невеличка перед присісти хліб грати висловлюватися. Жорстокий виднітися настати решітка витягувати епоха наполегливо.,Work.ua
32,34,Ігнат Арсенич,uatamanchuk@example.com,+380 (17) 000-41-64,Геолог,"Павленко, Перебийніс and Бабак",20594.97,26073.46,3,Магістр,2024-10-15,Прийнято,2024-10-29,"Видимо відповідність спалити друкувати м'який навряд.
Знаходити занадто темніти рішення шкільний виднітися. Солома бетонний тута червонй.",Сайт компанії
33,26,Герман Лемешко,petro05@example.net,100 79 56,Філолог,"Ґоляш, Бабʼюк and Панчук",21456.14,24137.16,7,Магістр,2024-12-14,Нова,,,Сайт компанії
34,76,Златослава Христенко,karmaliukrostyslav@example.net,022-04-72,Програміст,Дейсун-Жайворон,39067.14,56067.98,15,Середня,2024-01-09,Пропозиція,2024-01-18,Правильний висіти художній ремінь недолік природний перед. Навіщо висіти брову заспокоїтися монета збільшуватися пропадати. Заробити вечір досліджено нарада порівняння.,Work.ua
35,8,Олена Цимбал,oievtushok@example.net,+380 49 299-55-79,Пекар,Іваничук-Червоненко,31767.67,37595.49,0,Середня,2024-08-09,Розглядається,,,Work.ua
36,98,Вікторія Артюшенко,aopanasenko@example.org,060 070-91-26,Сценарист,Цимбалюк PLC,20816.6,28405.53,15,Середня,2024-03-30,Прийнято,2024-04-13,"Дружно вчора неправда похмуро. Конструкція свіжий оборот ніч упустити вовк червонй.
Купа-Невеличка сміливий надати трясти юний. Тривога прошепотіти зловити похорон адже зате від'їзд неправда.",Рекомендація
37,74,Данило Якимчук,kalenychenkovitalii@example.org,+380 64 570-78-81,Няня,"Адамчук, Цимбалюк and Свириденко",45528.83,66960.6,13,Бакалавр,2024-01-12,Співбесіда,2024-01-17,,Рекомендація
38,73,Алла Теличенко,olestovstolis@example.net,+380 43 276-56-05,Скульптор,"Цимбалюк, Михайлюк and Москаль",33914.85,48111.23,4,Бакалавр,2023-12-09,Розглядається,,,LinkedIn
39,62,Варвара Захаренко,ubhydenko@example.net,+380 03 595 00 01,Інженер,"Перепелиця, Радченко and Гречко",34247.07,41021.04,7,PhD,2023-11-28,Прийнято,2023-12-01,Провал спасти знімати загроза. Болісно спорт нога сходити конференція сміття. Командування вивести блискучий господь наштовхнутися подробиця.,Рекомендація
40,52,пані Оксенія Їжакевич,yhrytsenko@example.net,+380 77 734-79-71,Водій,Сімашкевич and Sons,25421.14,37062.88,6,Середня,2024-10-16,Пропозиція,2024-10-20,Знищення радість зате райком. Подробиця багряний виражений рішення тривога заклик. Художній інший спалити.,Інше
41,95,Юстина Приймак,nestor78@example.org,+380 41 573-52-31,Кінокритик,Оліфіренко-Ісаєвич,15111.45,21232.54,5,Середня,2024-04-06,Пропозиція,2024-04-15,Гараж єврейський направо ефект мотоцикл. Виражений надати поставити решітка крутий перед. Лівий плід збудження новий коричневий космос розлад.,Сайт компанії
42,53,пані Святослава Тимченко,balabanavrelii@example.org,041 050 22 67,Конструктор,"Скиба, Салій and Левченко",22552.4,30701.88,14,Середня,2023-06-17,Розглядається,,,Work.ua
43,26,Петро Рябець,leontiiiakymchuk@example.net,+380 (43) 073-02-13,Продюсер,Ващук and Sons,38437.16,43561.04,7,Магістр,2024-12-13,Прийнято,2024-12-23,Ліловий похорон ґудзик здригатися. Коричневий редактор несподіваний аналіз голубчик написати безпорадний.,LinkedIn
