logistics_id,transport_date,transport_type,destination_type,related_id,distance_km,fuel_consumption,transport_cost,driver_name,vehicle_number,start_time,estimated_arrival,actual_arrival,status
1,2023-10-10,Мікроавтобус,Клієнт,796,486,7.99,3587.05,Захаренко Ада Аврелійовна,AA7089AA,2023-10-10 05:00:00,2023-10-10 13:06:00,2023-10-10 13:50:01.435796,Доставлено
2,2024-07-14,Вантажівка,Склад,1318,756,23.86,4428.51,Наталія Бевзенко,AA9656AA,2024-07-14 16:00:00,2024-07-15 04:36:00,2024-07-15 05:16:06.898537,В дорозі
3,2024-09-13,Вантажівка,Склад,1358,248,27.18,2083.41,Стефан Ґалаґан,AA2960AA,2024-09-13 02:00:00,2024-09-13 06:08:00,2024-09-13 06:55:50.170106,Доставлено
4,2024-09-19,Мікроавтобус,Виробництво,692,925,14.17,3151.15,Демʼян Безбородько,AA4212AA,2024-09-19 13:00:00,2024-09-20 04:25:00,2024-09-20 04:22:53.940399,Заплановано
5,2023-04-10,Легковий автомобіль,Склад,866,761,20.26,3624.12,Венедикт Ващук,AA8755AA,2023-04-10 03:00:00,2023-04-10 15:41:00,2023-04-10 16:12:08.430452,Доставлено
6,2024-05-23,Легковий автомобіль,Клієнт,906,830,12.96,2401.08,Віолетта Яременко,AA2945AA,2024-05-23 07:00:00,2024-05-23 20:50:00,2024-05-23 20:44:27.924121,В дорозі
7,2024-06-18,Вантажівка,Постачальник,930,460,14.46,3738.9,Ярина Мазепа,AA3483AA,2024-06-18 18:00:00,2024-06-19 01:40:00,2024-06-19 02:19:19.865701,Доставлено
8,2024-03-31,Фура,Клієнт,84,124,27.5,2480.2,Хома Козаченко,AA9982AA,2024-03-31 03:00:00,2024-03-31 05:04:00,2024-03-31 05:15:03.821786,Заплановано
9,2024-12-09,Легковий автомобіль,Виробництво,881,837,26.17,2053.53,Ірена Алексійчук,AA1908AA,2024-12-09 11:00:00,2024-12-10 00:57:00,2024-12-10 00:33:50.000378,Доставлено
10,2024-08-26,Фура,Виробництво,1280,486,19.66,1775.12,пані Марія Терещенко,AA3832AA,2024-08-26 10:00:00,2024-08-26 18:06:00,2024-08-26 18:40:26.804066,Заплановано
11,2024-10-12,Легковий автомобіль,Клієнт,628,887,25.64,4695.4,пан Віктор Власенко,AA3463AA,2024-10-12 04:00:00,2024-10-12 18:47:00,2024-10-12 19:00:42.202943,Заплановано
12,2023-08-22,Мікроавтобус,Виробництво,1108,50,19.35,4529.2,Омелян Кириленко,AA2673AA,2023-08-22 12:00:00,2023-08-22 12:50:00,2023-08-22 13:57:46.394244,Доставлено
13,2024-03-14,Фура,Склад,939,960,13.95,4898.68,Франц Шовкопляс,AA2724AA,2024-03-14 17:00:00,2024-03-15 09:00:00,2024-03-15 10:48:44.264644,В дорозі
14,2024-09-16,Мікроавтобус,Виробництво,924,751,22.05,575.88,Єва Вергун,AA5660AA,2024-09-16 21:00:00,2024-09-17 09:31:00,2024-09-17 09:56:08.592091,В дорозі
15,2023-09-08,Вантажівка,Постачальник,252,236,17.29,3916.8,Панас Рябець,AA9594AA,2023-09-08 13:00:00,2023-09-08 16:56:00,2023-09-08 17:36:38.874323,Доставлено
16,2024-07-15,Вантажівка,Клієнт,83,389,6.29,1685.59,Лілія Гриценко,AA3586AA,2024-07-15 13:00:00,2024-07-15 19:29:00,2024-07-15 19:36:59.281628,Заплановано
17,2024-12-25,Фура,Виробництво,76,422,14.99,1936.05,Сніжана Скоробогатько,AA5380AA,2024-12-25 02:00:00,2024-12-25 09:02:00,2024-12-25 13:25:39.087508,Затримка
18,2023-04-03,Легковий автомобіль,Клієнт,317,569,15.41,3959.84,пан Вадим Ємельяненко,AA4465AA,2023-04-03 05:00:00,2023-04-03 14:29:00,2023-04-03 15:32:25.571769,В дорозі
19,2023-11-30,Легковий автомобіль,Клієнт,335,906,25.21,2441.46,Алевтин Ющенко,AA4633AA,2023-11-30 11:00:00,2023-12-01 02:06:00,2023-12-01 02:07:39.779299,В дорозі
20,2023-03-09,Легковий автомобіль,Виробництво,912,668,18.95,2631.0,Батюк Євген Вікторович,AA4459AA,2023-03-09 03:00:00,2023-03-09 14:08:00,2023-03-09 15:41:18.159959,В дорозі
21,2023-05-28,Фура,Постачальник,1138,31,14.98,3073.77,Роман Дейсун,AA5180AA,2023-05-28 16:00:00,2023-05-28 16:31:00,2023-05-28 16:54:15.140539,Заплановано
22,2023-11-04,Вантажівка,Виробництво,1122,481,26.67,1837.85,пані Орися Туркало,AA8721AA,2023-11-04 13:00:00,2023-11-04 21:01:00,2023-11-05 01:36:15.405471,Затримка
23,2023-12-16,Вантажівка,Склад,1144,350,5.7,4774.1,Гліб Яременко,AA5610AA,2023-12-16 03:00:00,2023-12-16 08:50:00,2023-12-16 10:42:56.125318,Заплановано
24,2023-07-31,Фура,Постачальник,466,771,17.56,3731.36,Олесь Притула,AA3613AA,2023-07-31 20:00:00,2023-08-01 08:51:00,2023-08-01 08:41:56.194679,Доставлено
