transaction_id,date,type,debit_account,credit_account,amount,description,reference_id,status,created_by,created_at,approved_by,approved_at,currency,exchange_rate
1,2024-11-24,Комунальні,4200,1000,31166.4,Оплата комунальних послуг,TRX-1,Відхилено,добродій Михайло Комар,2024-11-24,пан Прохір Калениченко,,UAH,1.0
2,2024-07-11,Ремонт,4400,1000,10521.99,Ремонт обладнання 7,MAINT-219,Відхилено,пан Демид Верес,2024-07-11,Тереза Данильчук,2024-07-12 14:00:00,UAH,1.0
3,2023-08-30,Продаж,1000,3000,288238.7235,Продаж товару 86,SALE-140,Відхилено,Заїка Соломія Антонівна,2023-08-30,Юстина Гоголь-Яновська,2023-08-30 21:00:00,UAH,1.0
4,2023-04-23,Ремонт,4400,1000,43873.31,Ремонт обладнання 2,MAINT-106,Очікує,панна Марʼяна Тесленко,2023-04-23,Онисим Баранник,2023-04-23 16:00:00,UAH,1.0
5,2023-10-03,Зарплата,4100,1000,39192.93,Виплата заробітної плати,TRX-5,Відхилено,Богданна Литвин,2023-10-03,пані Мілена Свириденко,2023-10-04 19:00:00,UAH,1.0
6,2023-07-10,Ремонт,4400,1000,7549.09,Ремонт обладнання 10,MAINT-732,Очікує,Вернидуб Павло Давидович,2023-07-10,Руслан Вернигора,2023-07-11 15:00:00,UAH,1.0
7,2023-08-04,Зарплата,4100,1000,45360.41,Виплата заробітної плати,TRX-7,Проведено,добродій Аркадій Тимченко,2023-08-04,Євген Чміль,2023-08-04 03:00:00,UAH,1.0
8,2024-09-19,Зарплата,4100,1000,95345.16,Виплата заробітної плати,TRX-8,Відхилено,Сиротенко Леонтій Романович,2024-09-19,Володимир Гайворонський,2024-09-19 21:00:00,UAH,1.0
9,2023-09-04,Інше,1100,1000,69991.56,Паща звільнення більше валюта хлопчисько решітка.,TRX-9,Проведено,Нестор Дробʼязко,2023-09-04,Георгій Єсипенко,2023-09-05 15:00:00,UAH,1.0
10,2024-11-28,Комунальні,4200,1000,61999.22,Оплата комунальних послуг,TRX-10,Очікує,Єлисей Проценко,2024-11-28,пан Едуард Ящук,2024-11-29 00:00:00,UAH,1.0
11,2024-01-03,Продаж,1000,3000,10064.044800000001,Продаж товару 71,SALE-233,Проведено,Гордій Шеремета,2024-01-03,,2024-01-03 03:00:00,UAH,1.0
12,2024-11-07,Зарплата,4100,1000,42281.66,Виплата заробітної плати,TRX-12,Проведено,Трохим Радченко,2024-11-07,Ольга Цушко,2024-11-08 15:00:00,UAH,1.0
13,2023-09-11,Продаж,1000,3000,96476.9328,Продаж товару 79,SALE-126,Проведено,Тереза Кибкало,2023-09-11,,2023-09-11 22:00:00,UAH,1.0
